Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006596"," 4372WT0000OS0",$3.25," 1",$3.25,"  costume dress "," Polyester "," "
" 000000006596"," C121-WhiteWT0000OS0",$5.7," 1",$5.7," babydoll"," Polyester"," "
" 000000006596"," 4398UEBK00ML0",$17.5," 1",$17.5,"  costume dress "," Polyester "," "
" 000000006596"," TieShortLYBK0000OS0",$4.25," 1",$4.25,"  panty "," nylon "," "
" 000000006596"," 4333BK0000M00",$27.5," 1",$27.5,"  costume dress "," Polyester "," "
" 000000006596"," 2939SV0000OS0",$14.75," 1",$14.75,"  bra "," nylon "," "
" 000000006596"," c155RD0000SM0",$19.75," 1",$19.75,"  One Piece "," nylon "," "
" 000000006596"," sh3090BK0000SM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BKWTDTSM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BK0000SM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BKWTDTSM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006597"," 1045jvOC0000S00",$22.25," 1",$22.25,"  costume dress "," Polyester "," "
" 000000006597"," 1039BK0000OS0",$6.88," 1",$6.88,"  Accessory "," plastic "," "
" 000000006597"," 440SCWTRD00OS0",$6.88," 1",$6.88,"  Hats "," Polyester "," "
" 000000006597"," CS234WTBK00OS0",$11.25," 1",$11.25," Jumpsuit"," Polyester"," "
" 000000006597"," CS120BK0000OS0",$12.38," 1",$12.38," hosiery"," nylon"," "
" 000000006597"," 1022SCRDBK00M00",$29.75," 1",$29.75," hosiery"," nylon"," "
" 000000006597"," 1040RD0000OS0",$1.75," 1",$1.75,"  Accessory "," plastic "," "
" 000000006598"," 70262AMCK00XL0",$12," 1",$12," babydoll"," Polyester"," "
" 000000006598"," 4748BK0000OS0",$2.13," 6",$12.78," Hair Accessory"," plastic"," "
" 000000006598"," 4242BK0000OS0",$2.25," 6",$13.5,"  hosiery "," nylon "," "
" 000000006598"," 1425BK0000OS0",$3.5," 1",$3.5,"  hosiery "," nylon "," "
" 000000006598"," 4918RDBK00OS0",$1.25," 6",$7.5,"  hosiery "," nylon "," "
" 000000006598"," 4542PP0000OS0",$1.63," 6",$9.78,"  hosiery "," nylon "," "
" 000000006598"," 4542HP0000OS0",$1.63," 6",$9.78,"  hosiery "," nylon "," "
" 000000006598"," 76007NVRD00M00",$9," 1",$9,"  costume dress "," Polyester "," "
" 000000006598"," 76007NVRD00L00",$9," 1",$9,"  costume dress "," Polyester "," "
" 000000006599"," mls-50441BK0000OS0",$1.88," 6",$11.28,"  hosiery "," nylon "," "
" 000000006602"," VANITY-420BKPT0012i",$8.5," 1",$8.5," Hair Accessory"," plastic"," "
" 000000006602"," ADORE-708UVNEWT0006i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006603"," 53058hBK0000M00",$6.48," 2",$12.96,"  bra "," nylon "," "
" 000000006604"," G1850BK0000OS0",$1.75," 1",$1.75,"  Glove "," nylon "," "
,,,,,,,,,
,,,,Total,$339.67
