Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006578"," mardigrasearringsGD0000OS0",$5.5," 2",$11," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006578"," victorianearringBK0000OS0",$5.5," 2",$11," babydoll"," Polyester"," "
" 000000006578"," victorianmaskBK0000OS0",$8," 2",$16," Belt"," Synthetic leather"," "
" 000000006578"," vexxedeyesFMBK00OS0",$5," 5",$25," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006578"," illusioneyes01SVBK00OS0",$5," 2",$10," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006578"," isiseyes01AQBKFTOS0",$5," 2",$10," bustier"," nylon"," "
" 000000006578"," SwirlsBK0000OS0",$2.5," 2",$5,"  Accessory "," plastic "," "
" 000000006578"," VillainBKSV00OS0",$6," 3",$18,"  Accessory "," plastic "," "
" 000000006578"," PinkFlamingoEyePK0000OS0",$3," 3",$9,"  Accessory "," plastic "," "
" 000000006578"," Ice-queenSV0000OS0",$6," 1",$6,"  Accessory "," plastic "," "
" 000000006579"," 25403BK0000L00",$7.48," 1",$7.48,"  tedy "," nylon "," "
" 000000006579"," 31740hBK0000M00",$9.48," 1",$9.48,"  bustier "," nylon "," "
" 000000006579"," 32701hPK0000S00",$8.98," 1",$8.98,"  bustier "," nylon "," "
" 000000006579"," 53058hBK0000S00",$6.48," 2",$12.96,"  bra "," nylon "," "
" 000000006579"," 654HOC0000OS0",$5.98," 1",$5.98,"  bustier "," nylon "," "
" 000000006580"," 324WT0000340",$6.75," 1",$6.75,"  bra "," nylon "," "
" 000000006580"," 324WT0000360",$6.75," 1",$6.75,"  bra "," nylon "," "
" 000000006580"," 20145BK0000OS0",$2.48," 1",$2.48,"  panty "," nylon "," "
" 000000006580"," 20145PP0000OS0",$2.48," 1",$2.48,"  panty "," nylon "," "
" 000000006580"," 90303HPBK00OS0",$4," 1",$4,"  babydoll "," nylon "," "
" 000000006580"," 90302PKMT00OS0",$4.5," 1",$4.5,"  babydoll "," nylon "," "
" 000000006581"," 5030legRD000010i",$10," 2",$20," Belt"," Synthetic leather"," "
" 000000006581"," 5030legRD000006i",$10," 4",$40," Jumpsuit"," Polyester"," "
" 000000006581"," 5030legRD000007i",$10," 2",$20," Hats"," Polyester"," "
" 000000006581"," 5030legRD000008i",$10," 3",$30," Hats"," Polyester"," "
" 000000006582"," 16BWT0000OS0",$2.5," 1",$2.5,"  Glove "," nylon "," "
" 000000006582"," 1767BK0000OS0",$0.95," 6",$5.7,"  hosiery "," nylon "," "
" 000000006582"," 2137BK0000OS0",$1.75," 6",$10.5,"  Glove "," nylon "," "
" 000000006582"," 2625BK0000OS0",$2.59," 1",$2.59,"  costume dress "," Polyester "," "
" 000000006582"," 2628BK0000OS0",$1.18," 2",$2.36,"  costume dress "," Polyester "," "
" 000000006582"," 6005BKWT00OS0",$0.71," 6",$4.26,"  hosiery "," nylon "," "
" 000000006582"," 6262BK0000OS0",$1," 6",$6,"  hosiery "," nylon "," "
" 000000006582"," 7283laBKND00OS0",$2.5," 1",$2.5,"  hosiery "," nylon "," "
" 000000006582"," 7720BKWT00OS0",$1.25," 6",$7.5,"  hosiery "," nylon "," "
" 000000006582"," 81375BK0000OS0",$3.75," 1",$3.75,"  tedy "," nylon "," "
" 000000006582"," 83607RDBK00XL0",$12.48," 1",$12.48," hosiery"," nylon"," "
" 000000006582"," 83917GR0000L00",$12.5," 1",$12.5," hosiery"," nylon"," "
" 000000006582"," 85238BK0000S00",$10.58," 1",$10.58," hosiery"," nylon"," "
" 000000006582"," 86329BKRD00M00",$14.75," 1",$14.75,"  corset "," Synthetic leather "," "
" 000000006582"," 86518RD0000S00",$18.98," 1",$18.98,"  corset "," Synthetic leather "," "
" 000000006582"," 86518RD0000M00",$18.98," 2",$37.96,"  corset "," Synthetic leather "," "
" 000000006582"," 9021WT0000OS0",$0.88," 6",$5.28,"  hosiery "," nylon "," "
" 000000006582"," 9213-6pNDBK00OS0",$5.7," 1",$5.7," Hats"," Polyester"," "
" 000000006582"," A1705LAWT0000OS0",$3.15," 1",$3.15,"  peticoat "," Polyester "," "
" 000000006582"," A1705LARD0000OS0",$3.15," 2",$6.3,"  peticoat "," Polyester "," "
" 000000006582"," A1966OGRB00OS0",$4.5," 1",$4.5,"  Accessory "," plastic "," "
" 000000006582"," G1850BK0000OS0",$1.75," 6",$10.5,"  Glove "," nylon "," "
" 000000006583"," 16-6057BK0000S00",$9.5," 1",$9.5,"  Long Pants "," nylon "," "
" 000000006583"," 5-5402BK0000S00",$9.5," 1",$9.5,"  bustier "," nylon "," "
" 000000006583"," 5-0255BK0000S00",$12.5," 1",$12.5,"  Tanktop "," Polyester "," "
" 000000006584"," 405-BROOKCL000007i",$7.5," 1",$7.5,"  sandal "," Upper:plastic "," Bottom:plastic"
