Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006584"," 405-BROOKCL000008i",$7.5," 1",$7.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 502-VanityCL000007i",$8.5," 1",$8.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 511-FEROCIOUSBK000006i",$14.5," 1",$14.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006584"," 609-CHARMBK000007i",$14.5," 1",$14.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 609-VanityCL000007i",$8.5," 1",$8.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 821-JULIETBKPT0007i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 821-JULIETBKPT0008i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006584"," 821-JULIETRDPT0007i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006585"," hl020PP0000OS0",$6.5," 1",$6.5,"  Skirt "," nylon "," "
" 000000006585"," pr1040foBK0000OS0",$3.7," 1",$3.7,"  Accessory "," plastic "," "
" 000000006585"," ne1813muYLMT00OS0",$14," 1",$14,"  Tanktop "," Polyester "," "
" 000000006588"," 1015cqtBK0000OS0",$2.5," 2",$5,"  garter belt "," nylon "," "
" 000000006588"," 1760BK0000OS0",$1.25," 6",$7.5,"  hosiery "," nylon "," "
" 000000006588"," 1761BK0000OS0",$1.5," 6",$9,"  hosiery "," nylon "," "
" 000000006588"," 1953BK0000OS0",$4.45," 1",$4.45,"  babydoll "," nylon "," "
" 000000006588"," 1979WT0000OS0",$4.45," 1",$4.45,"  babydoll "," nylon "," "
" 000000006588"," 708darqueBK0000OS0",$3.75," 2",$7.5,"  bra "," nylon "," "
" 000000006588"," D1728BK0000OS0",$4," 3",$12,"  hosiery "," nylon "," "
" 000000006588"," d9243BK0000OS0",$6," 4",$24,"  garter belt "," nylon "," "
" 000000006589"," 552408GR0000SM0",$17," 2",$34," hosiery"," nylon"," "
" 000000006589"," 554655YL0000LXL",$17," 1",$17," babydoll"," nylon"," "
" 000000006590"," STM-9215BK0000OS0",$6," 1",$6,"  babydoll "," Polyester "," "
" 000000006590"," STM-9339PBK0000L00",$5," 1",$5,"  bustier "," nylon "," "
" 000000006590"," 9484PBK0000OS0",$7.5," 1",$7.5,"  Dress "," Polyester "," "
" 000000006590"," stm-9772RD0000SM0",$9," 1",$9,"  bustier "," nylon "," "
" 000000006590"," 9916PK0000S00",$6.5," 1",$6.5,"  babydoll "," nylon "," "
" 000000006590"," STM-9949PRD0000OS0",$6.5," 2",$13,"  babydoll "," nylon "," "
" 000000006591"," 1022-6pBK0000OS0",$6.65," 1",$6.65," babydoll"," nylon"," "
" 000000006591"," 2019RD0000OS0",$0.75," 6",$4.5,"  Glove "," nylon "," "
" 000000006591"," 2658BK0000L00",$3.76," 1",$3.76,"  Skirt "," nylon "," "
" 000000006591"," 81413UE0000ML0",$6," 1",$6,"  bra "," nylon "," "
" 000000006591"," 81413UE0000SM0",$6," 1",$6,"  bra "," nylon "," "
" 000000006591"," 8297BK0000OS0",$1.25," 6",$7.5,"  hosiery "," nylon "," "
" 000000006591"," 85340BK0000S00",$11.75," 1",$11.75," babydoll"," nylon"," "
" 000000006591"," 86523BK0000OS0",$3.5," 2",$7,"  One Piece "," nylon "," "
" 000000006591"," A1705LAHP0000OS0",$3.15," 2",$6.3,"  peticoat "," Polyester "," "
" 000000006591"," A1705LARD0000OS0",$3.15," 5",$15.75,"  peticoat "," Polyester "," "
" 000000006591"," A1712LO0000OS0",$5.5," 1",$5.5,"  peticoat "," Polyester "," "
" 000000006591"," a1958BK0000OS0",$5.5," 1",$5.5,"  Hats "," Polyester "," "
" 000000006591"," 1011BK0000OS0",$0.8," 6",$4.8,"  hosiery "," nylon "," "
" 000000006591"," 2137BK0000OS0",$1.75," 6",$10.5,"  Glove "," nylon "," "
" 000000006591"," 8212BK0000OS0",$4," 1",$4,"  tedy "," nylon "," "
" 000000006592"," meg-101PK0000M00",$3.75," 3",$11.25,"  Glove "," nylon "," "
" 000000006592"," mg103tpPK0000M00",$3.75," 2",$7.5,"  Glove "," nylon "," "
" 000000006592"," mg103tpPK0000S00",$3.75," 2",$7.5,"  Glove "," nylon "," "
" 000000006593"," DreamBlondeLtBlondeGDGD00OS0",$8.5," 1",$8.5," babydoll"," nylon"," "
" 000000006594"," ADORE-708UVCR000006i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006594"," DELIGHT-3005HPCL0006i",$19," 1",$19,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006594"," destiny-06rSV000008i",$9.5," 1",$9.5," babydoll"," nylon"," "
" 000000006594"," dice-701CL000008i",$16," 1",$16,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006594"," GOGO-300WTPU0006i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006594"," Kiss-208RCL000007i",$10.5," 1",$10.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006594"," MEDIC-3028BKRDPT06i",$24.5," 1",$24.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006594"," SEDUCE-420-BKPUBKPU0007i",$5.38," 1",$5.38," Accessory"," plastic"," "
" 000000006594"," SKY-2020BKPT0008i",$14.5," 1",$14.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006594"," TREASURE-701CL000007i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006594"," VANITY-420BKSU0012i",$8.5," 1",$8.5," babydoll"," Polyester"," "
" 000000006594"," XTREME-809WT000009i",$11," 1",$11,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006595"," delight-3092BK000008i",$37.5," 1",$37.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006595"," DISORDER-402BKPU0010i",$29," 1",$29,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006595"," FURY-06BKLE0007i",$14," 1",$14,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006595"," GRAVEL-23BKLE0005i",$49.5," 1",$49.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006595"," PUMP-420BKPT0011i",$5," 1",$5," Jumpsuit"," Polyester"," "
" 000000006595"," SEDUCE-420-BKPATBKPT0010i",$5.38," 1",$5.38," Accessory"," plastic"," "
" 000000006595"," 8220BKPU0010i",$6," 1",$6," babydoll"," Polyester"," "
" 000000006596"," 4372WT0000OS0",$3.25," 1",$3.25,"  costume dress "," Polyester "," "
" 000000006596"," C121-WhiteWT0000OS0",$5.7," 1",$5.7," Jumpsuit"," Polyester"," "
" 000000006596"," 4398UEBK00ML0",$17.5," 1",$17.5,"  costume dress "," Polyester "," "
" 000000006596"," TieShortLYBK0000OS0",$4.25," 1",$4.25,"  panty "," nylon "," "
" 000000006596"," 4333BK0000M00",$27.5," 1",$27.5,"  costume dress "," Polyester "," "
" 000000006596"," 2939SV0000OS0",$14.75," 1",$14.75,"  bra "," nylon "," "
" 000000006596"," c155RD0000SM0",$19.75," 1",$19.75,"  One Piece "," nylon "," "
" 000000006596"," sh3090BK0000SM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BKWTDTSM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BK0000SM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006596"," sh3090BKWTDTSM0",$5.75," 1",$5.75,"  Short Pants "," nylon "," "
" 000000006597"," 1045jvOC0000S00",$22.25," 1",$22.25,"  costume dress "," Polyester "," "
" 000000006597"," 1039BK0000OS0",$6.88," 1",$6.88,"  Accessory "," plastic "," "
" 000000006597"," 440SCWTRD00OS0",$6.88," 1",$6.88,"  Hats "," Polyester "," "
,,,,,,,,,
,,,,Total,$1405.39
