Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006565"," 9910BK0000OS0",$0.65," 6",$3.9,"  hosiery "," nylon "," "
" 000000006565"," A1918LABK0000OS0",$3," 1",$3,"  Belt "," Synthetic leather "," "
" 000000006566"," 70285AM0000SM0",$11," 3",$33," hosiery"," nylon"," "
" 000000006566"," 70514BRPP00SM0",$11.5," 2",$23,"  costume dress "," Polyester "," "
" 000000006567"," 52588UE0000OS0",$7," 1",$7," bra"," nylon"," "
" 000000006568"," 4293WT0000L00",$19.75," 1",$19.75," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006568"," C163RDWT00SM0",$17.25," 1",$17.25," Belt"," Synthetic leather"," "
" 000000006568"," roma-3079LUMT00SM0",$13.75," 1",$13.75,"  Jumpsuit "," Polyester "," "
" 000000006568"," sh2967SV0000OS0",$6.25," 1",$6.25,"  panty "," nylon "," "
" 000000006568"," SKLQ107BK0000OS0",$6," 1",$6,"  Skirt "," nylon "," "
" 000000006569"," 90283HP0000OS0",$4.48," 1",$4.48,"  panty "," nylon "," "
" 000000006569"," 20410BK0000380",$5.88," 1",$5.88,"  bra "," nylon "," "
" 000000006569"," 90337BK0000OS0",$3.48," 6",$20.88,"  babydoll "," nylon "," "
" 000000006569"," 90315BK0000OS0",$4.5," 1",$4.5,"  hosiery "," nylon "," "
" 000000006570"," adore-708mrCL000009i",$30," 1",$30,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006570"," adore-709schBK000008i",$13," 1",$13,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006570"," Delight-4000BK000012i",$18.5," 1",$18.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," delight-600-33BKGRNE10i",$19," 1",$19,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," DIAMOND-601WTWT0008i",$13.5," 1",$13.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006570"," ELECTRA-3028BKPT0010i",$16.5," 1",$16.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0005i",$8.88," 2",$17.76,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0006i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0008i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0009i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0011i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300BKPT0012i",$8.88," 2",$17.76,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," GOGO-300PPPT0013i",$8.88," 1",$8.88,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," gogo-300fpleaserRD000005i",$11.5," 1",$11.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006570"," SEDUCE-420-BKPATBKPT0005i",$5.38," 1",$5.38," Catsuit"," vynal"," "
" 000000006570"," TECHNO-854UVBKPU0008i",$39.5," 1",$39.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006571"," CRYPTO-315BKSV0007i",$27.5," 1",$27.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006571"," DELIGHT-601ChromeCLSV0011i",$10," 1",$10,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006571"," destiny-06rND000011i",$9.5," 1",$9.5," Hats"," Polyester"," "
" 000000006571"," DOMINA-3000BKPU0008i",$13.5," 1",$13.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006571"," GYPSY-03GDPU0011i",$9.5," 1",$9.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006571"," Taboo-3000BK000007i",$18.5," 1",$18.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006572"," 57642GR0000OS0",$0.3," 12",$3.6,"  Accessory "," plastic "," "
" 000000006572"," 57643PK0000OS0",$0.3," 12",$3.6,"  Accessory "," plastic "," "
,,,,,,,,,
,,,,Total,$1569.67
