顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006519,24,001,24fcBWdRD0000S00,24fcBWdRD0000S00,1023sc Skirt Set,RD0000,S00,1023scRD0000S00,,レッド,Sサイズ,,,4950,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006519,24,002,2481088BK0000SM0,2481088BK0000SM0,7005Black  Go Go Girl/J.Valentine  Stretch Velvet Shorts,BK0000,SM0,7005BlackBK0000SM0,,ブラック,S/Mサイズ,,,675,20141214,1,00,101,0,パンティ　ナイロン
110001,001,00001,000000006519,24,003,2488975GNWT00L00,2488975GNWT00L00,0,GNWT00,L00,CS129GNWT00L00,,緑 ホワイト,Lサイズ,,,3950,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006520,12,001,1213858BK0000OS0,1213858BK0000OS0,Garter belt stocking,BK0000,OS0,1653BK0000OS0,,ブラック  ,ワンサイズ,,,250,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,002,1213845BK0000OS0,1213845BK0000OS0,Garter belt stocking,BK0000,OS0,1767BK0000OS0,,ブラック  ,ワンサイズ,,,190,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,003,1213656BG0000OS0,1213656BG0000OS0,Sheer nylon crotchless pantyhose,BG0000,OS0,1905BG0000OS0,,ベージュ  ,ワンサイズ,,,125,20141214,12,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,004,1213653BK0000OS0,1213653BK0000OS0,Sheer nylon crotchless pantyhose,BK0000,OS0,1905BK0000OS0,,ブラック  ,ワンサイズ,,,125,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,005,1281360LO0000OS0,1281360LO0000OS0,2109 Leopard elbow length gloves,LO0000,OS0,2109LO0000OS0,,ヒョウ柄,ワンサイズ,,,630,20141214,1,00,101,0,手袋　ナイロン
110001,001,00001,000000006520,12,006,123QZI0PKNE00OS0,123QZI0PKNE00OS0,2673 Harlequin neon wig with curly puff clip-on pieces and adjustable elastic strap,PKNE00,OS0,2673PKNE00OS0,,ピンク ネオン（蛍光色）,ワンサイズ,,,1200,20141214,1,00,101,0,ウィッグ　アクリル
110001,001,00001,000000006520,12,007,1249613BKWT00OS0,1249613BKWT00OS0,striped stirrup knee highs,BKWT00,OS0,5563BKWT00OS0,,ブラック ホワイト,ワンサイズ,,,160,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,008,1213510BK0000OS0,1213510BK0000OS0,satin lace up stocking,BK0000,OS0,6289BK0000OS0,,ブラック,ワンサイズ,,,500,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,009,129ZytGWTBK00S00,129ZytGWTBK00S00,BRA AND RUFFLE BACK GSTRING,WTBK00,S00,81440WTBK00S00,,ホワイト ブラック,Sサイズ,,,1195,20141214,1,00,101,0,ブラ　ナイロン
110001,001,00001,000000006520,12,010,1275496BK0000OS0,1275496BK0000OS0,8208 Opaque bodystocking,BK0000,OS0,8208BK0000OS0,,ブラック,ワンサイズ,,,350,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,011,1213205ND0000OS0,1213205ND0000OS0,Scoopneck bodystocking,ND0000,OS0,8297ND0000OS0,,ヌード  ,ワンサイズ,,,250,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006520,12,012,12G17CdBK0000M00,12G17CdBK0000M00,85047 Lame zipper front catsuit　/Leg Avenue,BK0000,M00,85047BK0000M00,,ブラック,Mサイズ,,,1692,20141214,2,00,101,0,キャットスーツ　ポリエステル
110001,001,00001,000000006520,12,013,12fr6wxPK0000S00,12fr6wxPK0000S00,87044 2 PC garter dress with micro net overlay satin bow accents with rosette detail and g-string,PK0000,S00,87044PK0000S00,,ピンク,Sサイズ,,,2250,20141214,1,00,101,0,ワンピース　ナイロン
110001,001,00001,000000006520,12,014,129IB5sWTBK00SM0,129IB5sWTBK00SM0,HIGHLOW BABYDOLL AND GSTRING,WTBK00,SM0,8711WTBK00SM0,,ホワイト ブラック,S/Mサイズ,,,1195,20141214,1,00,101,0,ベビードール　ナイロン
110001,001,00001,000000006520,12,015,1201138RD0000OS0,1201138RD0000OS0,2PC.Romantic lace open front babydoll with matching G-string.,RD0000,OS0,8782RD0000OS0,,レッド,ワンサイズ,,,500,20141214,6,00,101,0,ベビードール　ナイロン
110001,001,00001,000000006520,12,016,12eo8jaWT0000OS0,12eo8jaWT0000OS0,A1705LA  Leg Avenue Organza tutu One Size,WT0000,OS0,A1705LAWT0000OS0,,ホワイト  ,ワンサイズ,,,630,20141214,3,00,101,0,パニエ　ナイロン
110001,001,00001,000000006520,12,017,1279960RD0000OS0,1279960RD0000OS0,A1705LA  Leg Avenue Organza tutu One Size,RD0000,OS0,A1705LARD0000OS0,,レッド  ,ワンサイズ,,,630,20141214,1,00,101,0,パニエ　ナイロン
110001,001,00001,000000006520,12,018,12yySySWT0000OS0,12yySySWT0000OS0,Funky afro wig with adjustable elastic strap,WT0000,OS0,a2678WT0000OS0,,ホワイト,ワンサイズ,,,940,20141214,1,00,101,0,ウィッグ　アクリル
110001,001,00001,000000006521,21,001,21r90gERD0000OS0,21r90gERD0000OS0,C156 Fur Trimmed Sequin Christmas Hat,RD0000,OS0,c156RD0000OS0,,レッド,ワンサイズ,,,900,20141214,1,00,101,0,ハット　ナイロン
110001,001,00001,000000006521,21,002,21omYU4RDWT00S00,21omYU4RDWT00S00,Santa’s Baby 1pc. Sequin Romper with Fur Trim and Pleaded Ribbon Detail with Lace-up Back,RDWT00,S00,C168RDWT00S00,,レッド ホワイト,Sサイズ,,,3250,20141214,1,00,101,0,ロンパー　ポリエステル
110001,001,00001,000000006521,21,003,2183tiGWT0000SM0,2183tiGWT0000SM0,1pc. Candy Cane Cutie,WT0000,SM0,C175WT0000SM0,,ホワイト,S/Mサイズ,,,3250,20141214,1,00,101,0,ランジェリードレス　ナイロン
110001,001,00001,000000006522,05,001,0515970WT0000320,0515970WT0000320,20144 Stretch lace shelf BRA Sexy Lingerie Shirley of Hollywood,WT0000,320,20144WT0000320,,ホワイト,32(アンダーバスト70cm),,,1195,20141214,1,00,101,0,ブラジャー　ナイロン
110001,001,00001,000000006522,05,002,0501482WT0000OS0,0501482WT0000OS0,20145 Steretch lace strappy thong,WT0000,OS0,20145WT0000OS0,,ホワイト,ワンサイズ,,,495,20141214,2,00,101,0,パンティ　ナイロン
110001,001,00001,000000006522,05,003,05lCEzEWT0000S00,05lCEzEWT0000S00,3232 BABYDOLL LACE/MESH/CHARM SEXY LINGERIE Shirley of Hollywood,WT0000,S00,3232WT0000S00,,ホワイト,Sサイズ,,,1695,20141214,1,00,101,0,ベビードール　ナイロン
110001,001,00001,000000006522,05,004,058fY5LWT0000OS0,058fY5LWT0000OS0,WHITE VELVET CAT MASK,WT0000,OS0,905WT0000OS0,,ホワイト  ,ワンサイズ,,,895,20141214,1,00,101,0,仮面　プラスチック
110001,001,00001,000000006523,09,001,0979621WTNE00OS0,0979621WTNE00OS0,18271 Lip Stick Glow In The Dark,WTNE00,OS0,18271WTNE00OS0,,ホワイト ネオン（蛍光色）,ワンサイズ,,,374,20141214,1,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006524,09,001,0996260ND0000S00,0996260ND0000S00,BIKINI BUDDIES Triangle Cup Enhancers,ND0000,S00,TriangleCupEnhancersND0000S00,,ヌード  ,Sサイズ,,,295,20141214,3,00,101,0,ブラパッド　ナイロン
110001,001,00001,000000006524,09,002,0996261ND0000M00,0996261ND0000M00,BIKINI BUDDIES Triangle Cup Enhancers,ND0000,M00,TriangleCupEnhancersND0000M00,,ヌード  ,Mサイズ,,,295,20141214,3,00,101,0,ブラパッド　ナイロン
110001,001,00001,000000006525,40,001,403TORCFMBK00OS0,403TORCFMBK00OS0,Vexxed Eyes,FMBK00,OS0,vexxedeyesFMBK00OS0,,フレイム ブラック,ワンサイズ,,,1000,20141214,1,00,101,0,シール　紙
110001,001,00001,000000006526,34,001,3481779RD0000OS0,3481779RD0000OS0,1040SL Body Zone Garter Set with Leg Straps,RD0000,OS0,1040SLRD0000OS0,,レッド,ワンサイズ,,,670,20141214,1,00,101,0,レッグラップ　ポリエステル
110001,001,00001,000000006526,34,002,34Y4mnuWT0000OS0,34Y4mnuWT0000OS0,1201SL Go-Go Shorts,WT0000,OS0,1201slWT0000OS0,,ホワイト,ワンサイズ,,,650,20141214,1,00,101,0,ショーツ　ポリエステル
110001,001,00001,000000006526,34,003,34iDLSkBK0000OS0,34iDLSkBK0000OS0,pr1040fo dance wear Foil Garter Set w/ Spaghetti bodyzone,BK0000,OS0,pr1040foBK0000OS0,,ブラック,ワンサイズ,,,740,20141214,5,00,101,0,レッグラップ　ポリエステル
110001,001,00001,000000006526,34,004,34S95HYSV0000OS0,34S95HYSV0000OS0,pr1040fo dance wear Foil Garter Set w/ Spaghetti bodyzone,SV0000,OS0,pr1040foSV0000OS0,,シルバー,ワンサイズ,,,740,20141214,4,00,101,0,レッグラップ　ポリエステル
110001,001,00001,000000006526,34,005,3496912WT0000OS0,3496912WT0000OS0,un002 Bodyzone Criss Cross Crotchless Thong Sexy Panty,WT0000,OS0,un002WT0000OS0,,ホワイト,ワンサイズ,,,425,20141214,1,00,101,0,パンティ　ポリエステル
110001,001,00001,000000006527,41,001,4187892SV0000OS0,4187892SV0000OS0,0,SV0000,OS0,s28602SV0000OS0,,シルバー,ワンサイズ,,,450,20141214,1,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006528,10,001,1091881BK000010i,1091881BK000010i,0,BK0000,10i,BETTIE-10BK000010i,,ブラック,サイズ10(US),,,2600,20141214,1,00,101,0,パンプス　上合皮　下プラスチック
110001,001,00001,000000006528,10,002,1073918BKBK0011i,1073918BKBK0011i,PLEASER  Mid-Platform 6 Diamond DIAMOND-601,BKBK00,11i,DIAMOND-601BKBK0011i,,ブラック ブラック,サイズ11(US),,,2700,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006528,10,003,1010624BKPU0009i,1010624BKPU0009i,DOMINA-3000,BKPU00,09i,DOMINA-3000BKPU0009i,,ブラック 合皮,サイズ9(US),,,2700,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006528,10,004,1004300BKPT0008i,1004300BKPT0008i,ELECTRA-3050,BKPT00,08i,ELECTRA-3050BKPT0008i,,ブラック エナメル,サイズ8(US),,,2900,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006528,10,005,1026649RDPT0006i,1026649RDPT0006i,Flair-436,RDPT00,06i,Flair-436RDPT0006i,,レッド エナメル,サイズ6(US),,,1600,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006528,10,006,1017448BKPT0006i,1017448BKPT0006i,0,BKPT00,06i,Retro-302BKPT0006i,,ブラック エナメル,6インチ(US),,,1599,20141214,1,00,101,0,ブーツ　上合皮　下プラスチック
110001,001,00001,000000006528,10,007,1011958HP000007i,1011958HP000007i,Seduce-420-HPN Hot Pink Patent,HP0000,07i,Seduce-420-HPNHP000007i,,ホットピンク,サイズ7(US),,,1075,20141214,1,00,101,0,パンプス　上合皮　下プラスチック
