顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006596,21,001,21o4t0VWT0000OS0,21o4t0VWT0000OS0,4372 Roma Costume Halloween Sexy Costume Ruffled Cuffs,WT0000,OS0,4372WT0000OS0,,ホワイト,ワンサイズ,,,650,20141221,1,00,101,0,
110001,001,00001,000000006596,21,002,2170159WT0000OS0,2170159WT0000OS0,Fur Leg Wamer,WT0000,OS0,C121-WhiteWT0000OS0,,ホワイト,ワンサイズ,,,1140,20141221,1,00,101,0,
110001,001,00001,000000006596,21,003,21zqyO7UEBK00ML0,21zqyO7UEBK00ML0,4398 8pc Sexy Police Woman,UEBK00,ML0,4398UEBK00ML0,,ブルー ブラック,M/Lサイズ,,,3500,20141221,1,00,101,0,
110001,001,00001,000000006596,21,004,2175100BK0000OS0,2175100BK0000OS0,Lycra Tie Side Short,BK0000,OS0,TieShortLYBK0000OS0,,ブラック,ワンサイズ,,,850,20141221,1,00,101,0,
110001,001,00001,000000006596,21,005,21fygm9BK0000M00,21fygm9BK0000M00,4333 Sexy SWAT Halloween Costume Roma Costume Police Cop,BK0000,M00,4333BK0000M00,,ブラック,Mサイズ,,,5500,20141221,1,00,101,0,
110001,001,00001,000000006596,21,006,2185674SV0000OS0,2185674SV0000OS0,2939 Roma Costume 2pc sequin bikini set,SV0000,OS0,2939SV0000OS0,,シルバー,ワンサイズ,,,2950,20141221,1,00,101,0,
110001,001,00001,000000006596,21,007,21EALECRD0000SM0,21EALECRD0000SM0,c155 sexy claus,RD0000,SM0,c155RD0000SM0,,レッド,S/Mサイズ,,,3950,20141221,1,00,101,0,
110001,001,00001,000000006596,21,008,21rN6XqBK0000SM0,21rN6XqBK0000SM0,SH3090 High-Waisted Black White Polka Shorts,BK0000,SM0,sh3090BK0000SM0,,ブラック  ,S/Mサイズ,,,1150,20141221,1,00,101,0,
110001,001,00001,000000006596,21,009,2166TSKBKWTDTSM0,2166TSKBKWTDTSM0,SH3090 High-Waisted Black White Polka Shorts,BKWTDT,SM0,sh3090BKWTDTSM0,,ブラック ホワイト 水玉,S/Mサイズ,,,1150,20141221,1,00,101,0,
110001,001,00001,000000006596,21,010,21rN6XqBK0000SM0,21rN6XqBK0000SM0,SH3090 High-Waisted Black White Polka Shorts,BK0000,SM0,sh3090BK0000SM0,,ブラック  ,S/Mサイズ,,,1150,20141221,1,00,101,0,
110001,001,00001,000000006596,21,011,2166TSKBKWTDTSM0,2166TSKBKWTDTSM0,SH3090 High-Waisted Black White Polka Shorts,BKWTDT,SM0,sh3090BKWTDTSM0,,ブラック ホワイト 水玉,S/Mサイズ,,,1150,20141221,1,00,101,0,
110001,001,00001,000000006597,24,001,24gqlnuOC0000S00,24gqlnuOC0000S00,1045 Hooded Romper with Belt,OC0000,S00,1045jvOC0000S00,,写真の色,Sサイズ,,,4450,20141221,1,00,101,0,
110001,001,00001,000000006597,24,002,24QibinBK0000OS0,24QibinBK0000OS0,1039 Jingle Bell Boots Toppers,BK0000,OS0,1039BK0000OS0,,ブラック,ワンサイズ,,,1375,20141221,1,00,101,0,
110001,001,00001,000000006597,24,003,2481079WTRD00OS0,2481079WTRD00OS0,440SC Go Go Girl/J.Valentine Christmas Costume Deluxe Santa Hat,WTRD00,OS0,440SCWTRD00OS0,,ホワイト レッド,ワンサイズ,,,1375,20141221,1,00,101,0,
110001,001,00001,000000006597,24,004,24ywhCkWTBK00OS0,24ywhCkWTBK00OS0,sexywhitetigerlerwarmersfauxfuronesize,WTBK00,OS0,CS234WTBK00OS0,,ホワイト ブラック,ワンサイズ,,,2250,20141221,1,00,101,0,
110001,001,00001,000000006597,24,005,2488912BK0000OS0,2488912BK0000OS0,CS120 J Valentine Costume Black Cat Fur Claw Legwarmers,BK0000,OS0,CS120BK0000OS0,,ブラック,ワンサイズ,,,2475,20141221,1,00,101,0,
110001,001,00001,000000006597,24,006,24TTU1YRDBK00M00,24TTU1YRDBK00M00,ZIPPER FRONT MINI DRESS WITH BELT AND FAUX FUR TRIM,RDBK00,M00,1022SCRDBK00M00,,レッド ブラック,Mサイズ,,,5950,20141221,1,00,101,0,
